,date,state,fips,cases,deaths,Case_Difference,Daily_PCT_Increase
1171,2020-03-23,Wisconsin,55,418,5,36.0,0.09424083769633507
1117,2020-03-22,Wisconsin,55,382,4,101.0,0.35943060498220647
1063,2020-03-21,Wisconsin,55,281,4,65.0,0.3009259259259258
1009,2020-03-20,Wisconsin,55,216,3,61.0,0.3935483870967742
955,2020-03-19,Wisconsin,55,155,2,49.0,0.46226415094339623
901,2020-03-18,Wisconsin,55,106,0,34.0,0.4722222222222223
847,2020-03-17,Wisconsin,55,72,0,25.0,0.5319148936170213
793,2020-03-16,Wisconsin,55,47,0,14.0,0.4242424242424243
740,2020-03-15,Wisconsin,55,33,0,6.0,0.22222222222222232
687,2020-03-14,Wisconsin,55,27,0,8.0,0.42105263157894735
635,2020-03-13,Wisconsin,55,19,0,11.0,1.375
584,2020-03-12,Wisconsin,55,8,0,2.0,0.33333333333333326
537,2020-03-11,Wisconsin,55,6,0,3.0,1.0
493,2020-03-10,Wisconsin,55,3,0,1.0,0.5
454,2020-03-09,Wisconsin,55,2,0,1.0,1.0
417,2020-03-08,Wisconsin,55,1,0,0.0,0.0
382,2020-03-07,Wisconsin,55,1,0,0.0,0.0
349,2020-03-06,Wisconsin,55,1,0,0.0,0.0
321,2020-03-05,Wisconsin,55,1,0,0.0,0.0
300,2020-03-04,Wisconsin,55,1,0,0.0,0.0
283,2020-03-03,Wisconsin,55,1,0,0.0,0.0
267,2020-03-02,Wisconsin,55,1,0,0.0,0.0
252,2020-03-01,Wisconsin,55,1,0,0.0,0.0
239,2020-02-29,Wisconsin,55,1,0,0.0,0.0
229,2020-02-28,Wisconsin,55,1,0,0.0,0.0
219,2020-02-27,Wisconsin,55,1,0,0.0,0.0
210,2020-02-26,Wisconsin,55,1,0,0.0,0.0
201,2020-02-25,Wisconsin,55,1,0,0.0,0.0
192,2020-02-24,Wisconsin,55,1,0,0.0,0.0
184,2020-02-23,Wisconsin,55,1,0,0.0,0.0
176,2020-02-22,Wisconsin,55,1,0,0.0,0.0
168,2020-02-21,Wisconsin,55,1,0,0.0,0.0
160,2020-02-20,Wisconsin,55,1,0,0.0,0.0
152,2020-02-19,Wisconsin,55,1,0,0.0,0.0
144,2020-02-18,Wisconsin,55,1,0,0.0,0.0
136,2020-02-17,Wisconsin,55,1,0,0.0,0.0
128,2020-02-16,Wisconsin,55,1,0,0.0,0.0
121,2020-02-15,Wisconsin,55,1,0,0.0,0.0
114,2020-02-14,Wisconsin,55,1,0,0.0,0.0
107,2020-02-13,Wisconsin,55,1,0,0.0,0.0
100,2020-02-12,Wisconsin,55,1,0,0.0,0.0
93,2020-02-11,Wisconsin,55,1,0,0.0,0.0
87,2020-02-10,Wisconsin,55,1,0,0.0,0.0
81,2020-02-09,Wisconsin,55,1,0,0.0,0.0
75,2020-02-08,Wisconsin,55,1,0,0.0,0.0
69,2020-02-07,Wisconsin,55,1,0,0.0,0.0
63,2020-02-06,Wisconsin,55,1,0,0.0,0.0
2774,2020-04-21,West Virginia,54,929,26,21.0,0.02312775330396466
2718,2020-04-20,West Virginia,54,908,26,18.0,0.020224719101123556
2662,2020-04-19,West Virginia,54,890,20,65.0,0.07878787878787885
2606,2020-04-18,West Virginia,54,825,18,49.0,0.06314432989690721
2550,2020-04-17,West Virginia,54,776,16,37.0,0.05006765899864685
2494,2020-04-16,West Virginia,54,739,13,14.0,0.0193103448275862
2438,2020-04-15,West Virginia,54,725,12,28.0,0.04017216642754673
2382,2020-04-14,West Virginia,54,697,10,59.0,0.09247648902821326
2326,2020-04-13,West Virginia,54,638,9,23.0,0.0373983739837398
2270,2020-04-12,West Virginia,54,615,8,22.0,0.03709949409780777
2214,2020-04-11,West Virginia,54,593,6,56.0,0.10428305400372428
2158,2020-04-10,West Virginia,54,537,5,13.0,0.024809160305343525
2102,2020-04-09,West Virginia,54,524,5,41.0,0.08488612836438914
2046,2020-04-08,West Virginia,54,483,4,71.0,0.17233009708737868
1991,2020-04-07,West Virginia,54,412,4,67.0,0.1942028985507247
1936,2020-04-06,West Virginia,54,345,4,21.0,0.06481481481481488
1881,2020-04-05,West Virginia,54,324,3,42.0,0.14893617021276606
1826,2020-04-04,West Virginia,54,282,2,40.0,0.165289256198347
1771,2020-04-03,West Virginia,54,242,2,25.0,0.11520737327188946
1716,2020-04-02,West Virginia,54,217,2,26.0,0.1361256544502618
1661,2020-04-01,West Virginia,54,191,2,29.0,0.17901234567901225
1606,2020-03-31,West Virginia,54,162,1,17.0,0.11724137931034484
1551,2020-03-30,West Virginia,54,145,1,21.0,0.1693548387096775
1496,2020-03-29,West Virginia,54,124,1,11.0,0.09734513274336276
1441,2020-03-28,West Virginia,54,113,0,17.0,0.17708333333333326
1386,2020-03-27,West Virginia,54,96,0,20.0,0.26315789473684204
1332,2020-03-26,West Virginia,54,76,0,25.0,0.4901960784313726
1278,2020-03-25,West Virginia,54,51,0,12.0,0.3076923076923077
1224,2020-03-24,West Virginia,54,39,0,23.0,1.4375
1170,2020-03-23,West Virginia,54,16,0,0.0,0.0
1116,2020-03-22,West Virginia,54,16,0,4.0,0.33333333333333326
1062,2020-03-21,West Virginia,54,12,0,4.0,0.5
1008,2020-03-20,West Virginia,54,8,0,3.0,0.6000000000000001
954,2020-03-19,West Virginia,54,5,0,3.0,1.5
900,2020-03-18,West Virginia,54,2,0,1.0,1.0
2773,2020-04-21,Washington,53,12345,683,154.0,0.012632269707161026
2717,2020-04-20,Washington,53,12191,661,386.0,0.03269800931808553
2661,2020-04-19,Washington,53,11805,637,3.0,0.0002541942043721157
2605,2020-04-18,Washington,53,11802,629,357.0,0.031192660550458662
2549,2020-04-17,Washington,53,11445,610,293.0,0.026273314203730358
2493,2020-04-16,Washington,53,11152,588,369.0,0.034220532319391594
2437,2020-04-15,Washington,53,10783,572,89.0,0.00832242378904069
2381,2020-04-14,Washington,53,10694,552,156.0,0.014803568039476245
2325,2020-04-13,Washington,53,10538,525,127.0,0.012198636058015522
2269,2020-04-12,Washington,53,10411,511,187.0,0.018290297339593087
2213,2020-04-11,Washington,53,10224,498,337.0,0.03408516233437853
2157,2020-04-10,Washington,53,9887,483,279.0,0.029038301415487133
2101,2020-04-09,Washington,53,9608,456,511.0,0.05617236451577434
2045,2020-04-08,Washington,53,9097,430,415.0,0.04780004607233357
1990,2020-04-07,Washington,53,8682,409,298.0,0.03554389312977091
1935,2020-04-06,Washington,53,8384,383,400.0,0.05010020040080154
1880,2020-04-05,Washington,53,7984,344,486.0,0.0648172846092292
1825,2020-04-04,Washington,53,7498,318,532.0,0.07637094458799876
1770,2020-04-03,Washington,53,6966,293,381.0,0.057858769931662835
1715,2020-04-02,Washington,53,6585,272,997.0,0.1784180386542591
1660,2020-04-01,Washington,53,5588,249,296.0,0.05593348450491309
1605,2020-03-31,Washington,53,5292,226,113.0,0.021818883954431323
1550,2020-03-30,Washington,53,5179,221,283.0,0.05780228758169925
1495,2020-03-29,Washington,53,4896,207,585.0,0.13569937369519836
1440,2020-03-28,Washington,53,4311,191,541.0,0.14350132625994694
1385,2020-03-27,Washington,53,3770,177,562.0,0.17518703241895262
1331,2020-03-26,Washington,53,3208,151,623.0,0.24100580270793026
1277,2020-03-25,Washington,53,2585,130,116.0,0.0469825840421223
1223,2020-03-24,Washington,53,2469,123,368.0,0.1751546882436934
1169,2020-03-23,Washington,53,2101,110,257.0,0.13937093275488066
1115,2020-03-22,Washington,53,1844,97,189.0,0.11419939577039284
1061,2020-03-21,Washington,53,1655,95,251.0,0.17877492877492873
1007,2020-03-20,Washington,53,1404,83,176.0,0.14332247557003264
953,2020-03-19,Washington,53,1228,75,202.0,0.19688109161793377
899,2020-03-18,Washington,53,1026,68,118.0,0.1299559471365639
845,2020-03-17,Washington,53,908,54,114.0,0.1435768261964736
792,2020-03-16,Washington,53,794,48,119.0,0.1762962962962964
739,2020-03-15,Washington,53,675,42,66.0,0.10837438423645329
686,2020-03-14,Washington,53,609,40,98.0,0.19178082191780832
634,2020-03-13,Washington,53,511,37,92.0,0.21957040572792352
583,2020-03-12,Washington,53,419,32,81.0,0.23964497041420119
536,2020-03-11,Washington,53,338,29,59.0,0.21146953405017932
492,2020-03-10,Washington,53,279,24,100.0,0.558659217877095
453,2020-03-09,Washington,53,179,22,38.0,0.2695035460992907
416,2020-03-08,Washington,53,141,19,31.0,0.28181818181818175
381,2020-03-07,Washington,53,110,16,24.0,0.2790697674418605
348,2020-03-06,Washington,53,86,12,11.0,0.14666666666666672
320,2020-03-05,Washington,53,75,11,28.0,0.5957446808510638
299,2020-03-04,Washington,53,47,11,15.0,0.46875
282,2020-03-03,Washington,53,32,10,9.0,0.3913043478260869
266,2020-03-02,Washington,53,23,6,6.0,0.3529411764705883
251,2020-03-01,Washington,53,17,3,7.0,0.7
238,2020-02-29,Washington,53,10,1,3.0,0.4285714285714286
228,2020-02-28,Washington,53,7,0,2.0,0.3999999999999999
218,2020-02-27,Washington,53,5,0,0.0,0.0
209,2020-02-26,Washington,53,5,0,0.0,0.0
200,2020-02-25,Washington,53,5,0,0.0,0.0
191,2020-02-24,Washington,53,5,0,4.0,4.0
183,2020-02-23,Washington,53,1,0,0.0,0.0
175,2020-02-22,Washington,53,1,0,0.0,0.0
167,2020-02-21,Washington,53,1,0,0.0,0.0
159,2020-02-20,Washington,53,1,0,0.0,0.0
151,2020-02-19,Washington,53,1,0,0.0,0.0
143,2020-02-18,Washington,53,1,0,0.0,0.0
135,2020-02-17,Washington,53,1,0,0.0,0.0
127,2020-02-16,Washington,53,1,0,0.0,0.0
120,2020-02-15,Washington,53,1,0,0.0,0.0
113,2020-02-14,Washington,53,1,0,0.0,0.0
106,2020-02-13,Washington,53,1,0,0.0,0.0
99,2020-02-12,Washington,53,1,0,0.0,0.0
92,2020-02-11,Washington,53,1,0,0.0,0.0
86,2020-02-10,Washington,53,1,0,0.0,0.0
80,2020-02-09,Washington,53,1,0,0.0,0.0
74,2020-02-08,Washington,53,1,0,0.0,0.0
68,2020-02-07,Washington,53,1,0,0.0,0.0
62,2020-02-06,Washington,53,1,0,0.0,0.0
56,2020-02-05,Washington,53,1,0,0.0,0.0
51,2020-02-04,Washington,53,1,0,0.0,0.0
46,2020-02-03,Washington,53,1,0,0.0,0.0
41,2020-02-02,Washington,53,1,0,0.0,0.0
36,2020-02-01,Washington,53,1,0,0.0,0.0
31,2020-01-31,Washington,53,1,0,0.0,0.0
27,2020-01-30,Washington,53,1,0,0.0,0.0
23,2020-01-29,Washington,53,1,0,0.0,0.0
19,2020-01-28,Washington,53,1,0,0.0,0.0
15,2020-01-27,Washington,53,1,0,0.0,0.0
11,2020-01-26,Washington,53,1,0,0.0,0.0
7,2020-01-25,Washington,53,1,0,0.0,0.0
4,2020-01-24,Washington,53,1,0,0.0,0.0
2,2020-01-23,Washington,53,1,0,0.0,0.0
1,2020-01-22,Washington,53,1,0,0.0,0.0
2772,2020-04-21,Virginia,51,9630,325,640.0,0.07119021134593995
2716,2020-04-20,Virginia,51,8990,300,453.0,0.053063136933348964
2660,2020-04-19,Virginia,51,8537,277,484.0,0.06010182540668074
2604,2020-04-18,Virginia,51,8053,258,562.0,0.07502336136697374
2548,2020-04-17,Virginia,51,7491,238,602.0,0.08738568732762375
2492,2020-04-16,Virginia,51,6889,208,389.0,0.05984615384615388
2436,2020-04-15,Virginia,51,6500,195,329.0,0.053313887538486426
2380,2020-04-14,Virginia,51,6171,154,424.0,0.0737776231077083
2324,2020-04-13,Virginia,51,5747,149,473.0,0.08968524838832015
2268,2020-04-12,Virginia,51,5274,141,197.0,0.038802442387236624
2212,2020-04-11,Virginia,51,5077,130,568.0,0.12597028165890434
2156,2020-04-10,Virginia,51,4509,121,467.0,0.11553686293913912
2100,2020-04-09,Virginia,51,4042,109,397.0,0.10891632373113858
2044,2020-04-08,Virginia,51,3645,75,312.0,0.09360936093609351
1989,2020-04-07,Virginia,51,3333,69,455.0,0.15809589993050732
1934,2020-04-06,Virginia,51,2878,54,241.0,0.09139173302995829
1879,2020-04-05,Virginia,51,2637,52,230.0,0.09555463232239303
1824,2020-04-04,Virginia,51,2407,52,395.0,0.1963220675944335
1769,2020-04-03,Virginia,51,2012,46,306.0,0.17936694021101984
1714,2020-04-02,Virginia,51,1706,41,195.0,0.12905360688285894
1659,2020-04-01,Virginia,51,1511,34,261.0,0.2088000000000001
1604,2020-03-31,Virginia,51,1250,27,229.0,0.22428991185112634
1549,2020-03-30,Virginia,51,1021,26,131.0,0.14719101123595513
1494,2020-03-29,Virginia,51,890,22,150.0,0.20270270270270263
1439,2020-03-28,Virginia,51,740,17,134.0,0.22112211221122102
1384,2020-03-27,Virginia,51,606,14,2.0,0.0033112582781456013
1330,2020-03-26,Virginia,51,604,14,213.0,0.5447570332480818
1276,2020-03-25,Virginia,51,391,9,101.0,0.34827586206896544
1222,2020-03-24,Virginia,51,290,7,36.0,0.1417322834645669
1168,2020-03-23,Virginia,51,254,6,35.0,0.15981735159817356
1114,2020-03-22,Virginia,51,219,6,67.0,0.4407894736842106
1060,2020-03-21,Virginia,51,152,3,37.0,0.3217391304347825
1006,2020-03-20,Virginia,51,115,2,21.0,0.22340425531914887
952,2020-03-19,Virginia,51,94,2,16.0,0.20512820512820507
898,2020-03-18,Virginia,51,78,2,11.0,0.16417910447761197
844,2020-03-17,Virginia,51,67,2,16.0,0.3137254901960784
791,2020-03-16,Virginia,51,51,1,6.0,0.1333333333333333
738,2020-03-15,Virginia,51,45,1,3.0,0.0714285714285714
685,2020-03-14,Virginia,51,42,1,12.0,0.3999999999999999
633,2020-03-13,Virginia,51,30,0,13.0,0.7647058823529411
582,2020-03-12,Virginia,51,17,0,7.0,0.7
535,2020-03-11,Virginia,51,10,0,2.0,0.25
491,2020-03-10,Virginia,51,8,0,3.0,0.6000000000000001
452,2020-03-09,Virginia,51,5,0,3.0,1.5
415,2020-03-08,Virginia,51,2,0,1.0,1.0
2771,2020-04-21,Virgin Islands,78,54,3,0.0,0.0
2715,2020-04-20,Virgin Islands,78,54,3,1.0,0.018867924528301883
2659,2020-04-19,Virgin Islands,78,53,3,0.0,0.0
2603,2020-04-18,Virgin Islands,78,53,3,2.0,0.03921568627450989
2547,2020-04-17,Virgin Islands,78,51,2,0.0,0.0
2491,2020-04-16,Virgin Islands,78,51,1,0.0,0.0
2435,2020-04-15,Virgin Islands,78,51,1,0.0,0.0
2379,2020-04-14,Virgin Islands,78,51,1,0.0,0.0
2323,2020-04-13,Virgin Islands,78,51,1,0.0,0.0
2267,2020-04-12,Virgin Islands,78,51,1,0.0,0.0
2211,2020-04-11,Virgin Islands,78,51,1,5.0,0.10869565217391308
2155,2020-04-10,Virgin Islands,78,46,1,0.0,0.0
2099,2020-04-09,Virgin Islands,78,46,1,1.0,0.022222222222222143
2043,2020-04-08,Virgin Islands,78,45,1,0.0,0.0
1988,2020-04-07,Virgin Islands,78,45,1,2.0,0.04651162790697683
1933,2020-04-06,Virgin Islands,78,43,1,1.0,0.023809523809523725
1878,2020-04-05,Virgin Islands,78,42,0,0.0,0.0
1823,2020-04-04,Virgin Islands,78,42,0,4.0,0.10526315789473695
1768,2020-04-03,Virgin Islands,78,38,0,1.0,0.027027027027026973
1713,2020-04-02,Virgin Islands,78,37,0,7.0,0.2333333333333334
1658,2020-04-01,Virgin Islands,78,30,0,0.0,0.0
1603,2020-03-31,Virgin Islands,78,30,0,0.0,0.0
1548,2020-03-30,Virgin Islands,78,30,0,7.0,0.30434782608695654
1493,2020-03-29,Virgin Islands,78,23,0,4.0,0.21052631578947367
1438,2020-03-28,Virgin Islands,78,19,0,0.0,0.0
1383,2020-03-27,Virgin Islands,78,19,0,2.0,0.11764705882352944
1329,2020-03-26,Virgin Islands,78,17,0,0.0,0.0
1275,2020-03-25,Virgin Islands,78,17,0,0.0,0.0
1221,2020-03-24,Virgin Islands,78,17,0,0.0,0.0
1167,2020-03-23,Virgin Islands,78,17,0,0.0,0.0
1113,2020-03-22,Virgin Islands,78,17,0,11.0,1.8333333333333335
1059,2020-03-21,Virgin Islands,78,6,0,0.0,0.0
1005,2020-03-20,Virgin Islands,78,6,0,3.0,1.0
951,2020-03-19,Virgin Islands,78,3,0,0.0,0.0
897,2020-03-18,Virgin Islands,78,3,0,1.0,0.5
843,2020-03-17,Virgin Islands,78,2,0,0.0,0.0
790,2020-03-16,Virgin Islands,78,2,0,1.0,1.0
737,2020-03-15,Virgin Islands,78,1,0,0.0,0.0
2770,2020-04-21,Vermont,50,818,40,2.0,0.002450980392156854
2714,2020-04-20,Vermont,50,816,38,4.0,0.0049261083743843415
2658,2020-04-19,Vermont,50,812,37,9.0,0.011207970112079746
2602,2020-04-18,Vermont,50,803,37,24.0,0.030808729139923052
2546,2020-04-17,Vermont,50,779,35,11.0,0.01432291666666674
2490,2020-04-16,Vermont,50,768,35,9.0,0.011857707509881354
2434,2020-04-15,Vermont,50,759,30,7.0,0.009308510638297962
2378,2020-04-14,Vermont,50,752,29,4.0,0.005347593582887722
2322,2020-04-13,Vermont,50,748,28,21.0,0.028885832187070193
2266,2020-04-12,Vermont,50,727,27,16.0,0.02250351617440227
2210,2020-04-11,Vermont,50,711,25,32.0,0.04712812960235646
2154,2020-04-10,Vermont,50,679,24,51.0,0.08121019108280247
2098,2020-04-09,Vermont,50,628,23,23.0,0.0380165289256198
2042,2020-04-08,Vermont,50,605,23,30.0,0.05217391304347818
1987,2020-04-07,Vermont,50,575,23,32.0,0.058931860036832484
1932,2020-04-06,Vermont,50,543,23,31.0,0.060546875
1877,2020-04-05,Vermont,50,512,22,51.0,0.11062906724511934
1822,2020-04-04,Vermont,50,461,20,72.0,0.18508997429305918
1767,2020-04-03,Vermont,50,389,17,51.0,0.15088757396449703
1712,2020-04-02,Vermont,50,338,17,17.0,0.052959501557632294
1657,2020-04-01,Vermont,50,321,16,28.0,0.0955631399317407
1602,2020-03-31,Vermont,50,293,13,37.0,0.14453125
1547,2020-03-30,Vermont,50,256,12,21.0,0.08936170212765959
1492,2020-03-29,Vermont,50,235,12,24.0,0.11374407582938395
1437,2020-03-28,Vermont,50,211,12,27.0,0.1467391304347827
1382,2020-03-27,Vermont,50,184,10,26.0,0.16455696202531644
1328,2020-03-26,Vermont,50,158,9,35.0,0.2845528455284554
1274,2020-03-25,Vermont,50,123,8,28.0,0.2947368421052632
1220,2020-03-24,Vermont,50,95,7,20.0,0.2666666666666666
1166,2020-03-23,Vermont,50,75,2,23.0,0.4423076923076923
1112,2020-03-22,Vermont,50,52,2,3.0,0.061224489795918435
1058,2020-03-21,Vermont,50,49,2,20.0,0.6896551724137931
1004,2020-03-20,Vermont,50,29,2,7.0,0.3181818181818181
950,2020-03-19,Vermont,50,22,2,3.0,0.1578947368421053
896,2020-03-18,Vermont,50,19,0,5.0,0.3571428571428572
842,2020-03-17,Vermont,50,14,0,2.0,0.16666666666666674
789,2020-03-16,Vermont,50,12,0,4.0,0.5
736,2020-03-15,Vermont,50,8,0,3.0,0.6000000000000001
683,2020-03-14,Vermont,50,5,0,3.0,1.5
632,2020-03-13,Vermont,50,2,0,0.0,0.0
581,2020-03-12,Vermont,50,2,0,0.0,0.0
534,2020-03-11,Vermont,50,2,0,1.0,1.0
490,2020-03-10,Vermont,50,1,0,0.0,0.0
451,2020-03-09,Vermont,50,1,0,0.0,0.0
414,2020-03-08,Vermont,50,1,0,0.0,0.0
2769,2020-04-21,Utah,49,3301,32,88.0,0.027388733271086263
2713,2020-04-20,Utah,49,3213,28,142.0,0.046239010094431876
2657,2020-04-19,Utah,49,3071,27,129.0,0.04384772263766146
2601,2020-04-18,Utah,49,2942,25,129.0,0.04585851404194807
2545,2020-04-17,Utah,49,2813,23,130.0,0.0484532240029818
2489,2020-04-16,Utah,49,2683,21,134.0,0.05256963515103963
2433,2020-04-15,Utah,49,2549,20,131.0,0.054177005789908916
2377,2020-04-14,Utah,49,2418,19,55.0,0.02327549724925948
2321,2020-04-13,Utah,49,2363,18,60.0,0.026052974381241878
2265,2020-04-12,Utah,49,2303,18,97.0,0.04397098821396184
2209,2020-04-11,Utah,49,2206,18,103.0,0.04897765097479789
2153,2020-04-10,Utah,49,2103,17,123.0,0.06212121212121202
2097,2020-04-09,Utah,49,1980,13,105.0,0.05600000000000005
2041,2020-04-08,Utah,49,1875,13,123.0,0.0702054794520548
1986,2020-04-07,Utah,49,1752,13,77.0,0.04597014925373144
1931,2020-04-06,Utah,49,1675,13,70.0,0.04361370716510904
1876,2020-04-05,Utah,49,1605,8,177.0,0.12394957983193278
1821,2020-04-04,Utah,49,1428,8,168.0,0.1333333333333333
1766,2020-04-03,Utah,49,1260,7,186.0,0.17318435754189943
1711,2020-04-02,Utah,49,1074,7,62.0,0.06126482213438744
1656,2020-04-01,Utah,49,1012,7,125.0,0.14092446448703488
1601,2020-03-31,Utah,49,887,5,81.0,0.10049627791563265
1546,2020-03-30,Utah,49,806,4,87.0,0.12100139082058425
1491,2020-03-29,Utah,49,719,2,111.0,0.1825657894736843
1436,2020-03-28,Utah,49,608,2,128.0,0.2666666666666666
1381,2020-03-27,Utah,49,480,2,78.0,0.19402985074626855
1327,2020-03-26,Utah,49,402,1,56.0,0.16184971098265888
1273,2020-03-25,Utah,49,346,1,48.0,0.1610738255033557
1219,2020-03-24,Utah,49,298,1,41.0,0.1595330739299612
1165,2020-03-23,Utah,49,257,1,75.0,0.4120879120879122
1111,2020-03-22,Utah,49,182,1,44.0,0.318840579710145
1057,2020-03-21,Utah,49,138,0,26.0,0.2321428571428572
1003,2020-03-20,Utah,49,112,0,32.0,0.3999999999999999
949,2020-03-19,Utah,49,80,0,15.0,0.23076923076923084
895,2020-03-18,Utah,49,65,0,14.0,0.27450980392156854
841,2020-03-17,Utah,49,51,0,11.0,0.2749999999999999
788,2020-03-16,Utah,49,40,0,11.0,0.3793103448275863
735,2020-03-15,Utah,49,29,0,8.0,0.38095238095238093
682,2020-03-14,Utah,49,21,0,14.0,2.0
631,2020-03-13,Utah,49,7,0,0.0,0.0
580,2020-03-12,Utah,49,7,0,2.0,0.3999999999999999
533,2020-03-11,Utah,49,5,0,1.0,0.25
489,2020-03-10,Utah,49,4,0,1.0,0.33333333333333326
450,2020-03-09,Utah,49,3,0,0.0,0.0
413,2020-03-08,Utah,49,3,0,0.0,0.0
378,2020-03-07,Utah,49,3,0,0.0,0.0
347,2020-03-06,Utah,49,3,0,2.0,2.0
319,2020-03-05,Utah,49,1,0,0.0,0.0
298,2020-03-04,Utah,49,1,0,0.0,0.0
281,2020-03-03,Utah,49,1,0,0.0,0.0
265,2020-03-02,Utah,49,1,0,0.0,0.0
250,2020-03-01,Utah,49,1,0,0.0,0.0
237,2020-02-29,Utah,49,1,0,0.0,0.0
227,2020-02-28,Utah,49,1,0,0.0,0.0
